0.92633,0.057885,0.015785
0.68248,0.307585,0.009935
0.935345,0.05991,0.004745
0.877755,0.108125,0.01412
0.855695,0.128085,0.01622
0.94049,0.053025,0.006485
0.4792,0.393205,0.127595
0.67483,0.311105,0.014065
0.71559,0.263975,0.020435
0.760645,0.19124,0.048115
0.736425,0.21584,0.047735
0.79977,0.191755,0.008475
0.74638,0.233435,0.020185
0.91399,0.06757,0.01844
0.813655,0.167695,0.01865
0.961345,0.034485,0.00417
0.664755,0.317515,0.01773
0.8359,0.14073,0.02337
0.784935,0.120195,0.09487
0.813735,0.142155,0.04411
0.669755,0.27439,0.055855
0.696605,0.136065,0.16733
0.95993,0.035815,0.004255
0.765655,0.225335,0.00901
0.93428,0.057075,0.008645
0.721295,0.261755,0.01695
0.90934,0.079875,0.010785
0.963815,0.03178,0.004405
0.91296,0.068685,0.018355
0.64133,0.32156,0.03711
0.58481,0.40821,0.00698
0.77754,0.21508,0.00738
0.52871,0.457225,0.014065
0.55024,0.44282,0.00694
0.796835,0.1804,0.022765
0.931815,0.05093,0.017255
0.915155,0.07507,0.009775
0.685855,0.30715,0.006995
0.66243,0.321105,0.016465
0.731645,0.26421,0.004145
0.91696,0.076265,0.006775
0.67236,0.32263,0.00501
0.89296,0.102485,0.004555
0.752315,0.244275,0.00341
0.91062,0.064775,0.024605
0.88845,0.10221,0.00934
0.90092,0.073475,0.025605
0.690555,0.27085,0.038595
0.62902,0.29397,0.07701
0.92489,0.04776,0.02735
0.856255,0.0875,0.056245
0.94584,0.043995,0.010165
0.8982,0.09126,0.01054
0.88973,0.06803,0.04224
0.764175,0.220515,0.01531
0.933695,0.05207,0.014235
0.93678,0.044045,0.019175
0.949515,0.041625,0.00886
0.892755,0.063405,0.04384
0.67181,0.26196,0.06623
0.94439,0.042755,0.012855
0.683955,0.269325,0.04672
0.885265,0.08908,0.025655
0.84537,0.08784,0.06679
0.943995,0.027945,0.02806
0.970395,0.01639,0.013215
0.9156,0.080305,0.004095
0.96383,0.024145,0.012025
0.98202,0.010825,0.007155
0.946585,0.04552,0.007895
0.979385,0.01676,0.003855
0.712255,0.27954,0.008205
0.655345,0.340465,0.00419
0.706595,0.283935,0.00947
0.87072,0.120915,0.008365
